"","order_col","V1","V2","CO2","TempPrediction","TempActuals","Difference"
"1",1,"ATG","Antigua and Barbuda",528800.281,-0.378075766,0.824,1.202075766
"2",2,"DZA","Algeria",150810251.4,-0.372590061,1.63,2.002590061
"3",3,"AZE","Azerbaijan",38278655.89,-0.376697788,1.347,1.723697788
"4",4,"ALB","Albania",6279022.83,-0.377865866,1.337,1.714865866
"5",5,"ARM","Armenia",5684072.919,-0.377887584,0.976,1.353887584
"6",6,"AGO","Angola",35428631.89,-0.376801822,0.808,1.184801822
"7",7,"ASM","Missing Data",0,0,0,0
"8",8,"ARG","Argentina",202782386.8,-0.370692929,1.057,1.427692929
"9",9,"AUS","Australia",415357583.7,-0.362933323,1.117,1.479933323
"10",10,"BHR","Bahrain",34490135.7,-0.37683608,2.188,2.56483608
"11",11,"BRB","Barbados",1325089.885,-0.378046699,1.069,1.447046699
"12",12,"BMU","Missing Data",0,0,0,0
"13",13,"BHS","Bahamas",2476100.621,-0.378004684,1.332,1.710004684
"14",14,"BGD","Bangladesh",85392082.29,-0.374978012,1.211,1.585978012
"15",15,"BLZ","Belize",562455.1001,-0.378074538,1.334,1.712074538
"16",16,"BIH","Bosnia and Herzegovina",25465436.98,-0.377165507,1.449,1.826165507
"17",17,"BOL","Bolivia",21152118.32,-0.377322956,1.009,1.386322956
"18",18,"MMR","Myanmar",25338879.18,-0.377170127,1.23,1.607170127
"19",19,"BEN","Benin",7501733.246,-0.377821234,1.307,1.684821234
"20",20,"SLB","Solomon Islands",247093.9776,-0.378086049,1.715,2.093086049
"21",21,"BRA","Brazil",472758338.3,-0.36083803,1.498,1.85883803
"22",22,"BGR","Bulgaria",49195030.35,-0.376299309,0.91,1.286299309
"23",23,"BRN","Brunei",10126106.1,-0.377725437,1.07,1.447725437
"24",24,"CAN","Canada",574470020.6,-0.357125262,1.451,1.808125262
"25",25,"KHM","Cambodia",7940276.395,-0.377805226,1.05,1.427805226
"26",26,"LKA","Sri Lanka",23416743.31,-0.37724029,1.085,1.46224029
"27",27,"COG","Congo",3312467.711,-0.377974154,1.121,1.498974154
"28",28,"COD","Democratic Republic of Congo",4817148.248,-0.377919229,1.106,1.483919229
"29",29,"BDI","Burundi",527326.4633,-0.37807582,0,0.37807582
"30",30,"CHN","China",10139656667,-0.007968453,1.579,1.586968453
"31",31,"AFG","Afghanistan",13295338.71,-0.377609751,1.483,1.860609751
"32",32,"BTN","Bhutan",1076749.182,-0.378055764,1.551,1.929055764
"33",33,"CHL","Chile",86551253.28,-0.374935699,0.68,1.054935699
"34",34,"CYM","Missing Data",0,0,0,0
"35",35,"CMR","Cameroon",7850934.216,-0.377808487,1.21,1.587808487
"36",36,"TCD","Chad",734417.8367,-0.37806826,1.207,1.58506826
"37",37,"COM","Comoros",189477.0039,-0.378088152,1.579,1.957088152
"38",38,"COL","Colombia",80968938.69,-0.37513947,0.787,1.16213947
"39",39,"CRI","Costa Rica",8773321.754,-0.377774817,0.802,1.179774817
"40",40,"CAF","Central African Republic",306528.1323,-0.37808388,1.235,1.61308388
"41",41,"CUB","Cuba",36042062.11,-0.37677943,1.341,1.71777943
"42",42,"CPV","Cape Verde",590216.3693,-0.378073524,1.842,2.220073524
"43",43,"COK","Missing Data",0,0,0,0
"44",44,"CYP","Cyprus",7515496.532,-0.377820732,0.859,1.236820732
"45",45,"DNK","Denmark",34542425.95,-0.376834171,1.609,1.985834171
"46",46,"DJI","Djibouti",806007.0752,-0.378065647,1.793,2.171065647
"47",47,"DMA","Dominica",139434.253,-0.378089979,0.849,1.227089979
"48",48,"DOM","Dominican Republic",20767242.37,-0.377337005,1.112,1.489337005
